N,P,K,SoilType,Season,PreviousCrop,Crop,RequiredNutrient
50,29,48,Sandy,Kharif,Pulses,Pulses,Phosphorus
36,71,34,Clay,Summer,Soybean,Soybean,Potassium
49,60,50,Red,Summer,Barley,Barley,Nitrogen
13,45,42,Clay,Summer,Sugarcane,Sugarcane,Nitrogen
40,20,8,Black,Kharif,Chickpea,Chickpea,Potassium
15,80,18,Clay,Rabi,Barley,Barley,Nitrogen
22,36,30,Sandy,Kharif,Sunflower,Sunflower,Nitrogen
46,21,44,Black,Kharif,Rice,Rice,Phosphorus
18,13,58,Clay,Summer,Groundnut,Groundnut,Phosphorus
48,19,29,Red,Summer,Onion,Onion,Phosphorus
11,75,59,Red,Kharif,Sunflower,Sunflower,Nitrogen
26,27,41,Sandy,Summer,Pulses,Pulses,Nitrogen
71,12,13,Clay,Rabi,Sugarcane,Sugarcane,Phosphorus
35,53,32,Red,Kharif,Millet,Millet,Potassium
34,12,6,Black,Kharif,Wheat,Wheat,Potassium
35,28,42,Black,Rabi,Sorghum,Sorghum,Phosphorus
59,67,22,Clay,Summer,Chickpea,Chickpea,Potassium
32,45,16,Red,Kharif,Barley,Barley,Potassium
27,20,51,Sandy,Summer,Sugarcane,Sugarcane,Phosphorus
37,48,48,Black,Kharif,Cotton,Cotton,Nitrogen
19,21,24,Red,Rabi,Cotton,Cotton,Nitrogen
19,36,39,Black,Summer,Rice,Rice,Nitrogen
73,49,43,Red,Rabi,Groundnut,Groundnut,Potassium
43,71,42,Black,Summer,Tomato,Tomato,Potassium
18,22,36,Sandy,Rabi,Sugarcane,Sugarcane,Nitrogen
39,15,51,Black,Rabi,Groundnut,Groundnut,Phosphorus
23,56,7,Red,Kharif,Tomato,Tomato,Potassium
44,28,59,Clay,Kharif,Potato,Potato,Phosphorus
18,36,29,Sandy,Kharif,Sorghum,Sorghum,Nitrogen
44,59,39,Sandy,Kharif,Pulses,Pulses,Potassium
33,49,42,Black,Rabi,Sunflower,Sunflower,Nitrogen
40,52,17,Red,Rabi,Maize,Maize,Potassium
25,13,45,Clay,Rabi,Potato,Potato,Phosphorus
57,70,52,Sandy,Rabi,Rice,Rice,None
68,28,35,Red,Rabi,Groundnut,Groundnut,Phosphorus
44,79,16,Sandy,Kharif,Maize,Maize,Potassium
74,63,51,Black,Kharif,Sugarcane,Sugarcane,None
46,73,48,Sandy,Summer,Tomato,Tomato,Nitrogen
56,67,29,Clay,Kharif,Soybean,Soybean,Potassium
74,58,31,Sandy,Kharif,Sorghum,Sorghum,Potassium
47,77,20,Sandy,Summer,Sugarcane,Sugarcane,Potassium
71,12,10,Black,Rabi,Maize,Maize,Potassium
17,36,8,Black,Kharif,Cotton,Cotton,Potassium
26,66,53,Sandy,Kharif,Cotton,Cotton,Nitrogen
18,31,37,Black,Rabi,Wheat,Wheat,Nitrogen
24,66,36,Black,Rabi,Sugarcane,Sugarcane,Nitrogen
50,16,44,Black,Kharif,Rice,Rice,Phosphorus
58,19,49,Red,Kharif,Rice,Rice,Phosphorus
33,64,57,Black,Kharif,Potato,Potato,Nitrogen
14,62,8,Black,Summer,Wheat,Wheat,Potassium
34,39,13,Black,Kharif,Barley,Barley,Potassium
25,52,23,Red,Summer,Tomato,Tomato,Potassium
35,22,18,Sandy,Summer,Millet,Millet,Potassium
68,63,30,Black,Rabi,Maize,Maize,Potassium
25,76,40,Red,Kharif,Soybean,Soybean,Nitrogen
18,76,35,Red,Rabi,Soybean,Soybean,Nitrogen
26,35,29,Sandy,Rabi,Groundnut,Groundnut,Nitrogen
61,78,42,Clay,Rabi,Cotton,Cotton,None
61,22,28,Red,Kharif,Groundnut,Groundnut,Phosphorus
25,33,28,Red,Kharif,Rice,Rice,Nitrogen
50,15,44,Clay,Rabi,Millet,Millet,Phosphorus
62,74,37,Black,Rabi,Cotton,Cotton,Potassium
62,80,40,Sandy,Summer,Sugarcane,Sugarcane,Potassium
33,18,47,Red,Kharif,Wheat,Wheat,Phosphorus
55,58,40,Sandy,Kharif,Wheat,Wheat,Potassium
62,41,52,Sandy,Summer,Groundnut,Groundnut,Phosphorus
